objects,on_time,off_time,notes
lamp,5:00,20:45,sunrise and sunset
ac,5:30,7:30,it's a Saturday and the family is going to the beach and then holding a party at the house later
db1b,9:00,9:10,parent 1 wakes up and uses the bathroom 
wb1l,9:10,11:00,
ac,8:00,10:00,
db1b,9:30,9:40,parent 2 wakes up and uses the bathroom
db1l,9:45,11:00,
dlk,9:50,11:00,parent 1 goes to prep food and snacks for the beach
wkf,9:55,11:00,
wkr,9:56,11:00,
db2b,10:00,11:00,parent 2 wakes the kids up
wb2b,10:05,11:00,
wb2r,10:06,11:00,
dlo,11:05,11:10,family leaves to the beach
ac,11:00,12:00,
ac,16:00,18:00,family comes back
dlo,16:10,16:20,
dlb,16:20,16:22,first child takes a shower
db2b,16:34,16:35,
dlb,16:35,16:37,second child takes a shower
db2b,16:47,16:49,
dlb,16:47,16:49,parent 1 takes a shower
dlk,16:20,23:30,parent 2 starts prepping stuff for the party
dlb,17:00,17:02,parent 2 takes a shower
db1b,17:00,17:02,
db1b,17:15,17:17,
db1l,17:30,17:33,family heads to the kitchen to prepare stuff for the party
db2b,17:30,17:33,
dlb,17:33,23:30,
dlo,19:00,19:05,a group of people arrived to the party
ac,19:30,23:00,
dlo,19:30,19:35,another group arrived to the party
dlb,19:40,19:42,someone is using the bathroom
dlb,19:50,20:30,
dlb,20:31,20:32,someone is using the bathroom
dlb,20:40,23:30,
dlo,23:00,23:05,a group of people leaves the party
dlo,23:30,23:40,the rest of the people leave
dlk,16:30,20:00,parent changes and then goes to the kitchen
dlb,23:50,0:20,family getting ready for bed
db2b,0:30,0:33,
db1b,0:30,0:35,
wkf,17:40,23:40,
wkr,17:40,23:40,
motor1,6:00,6:11,first stop
motor2,6:00,6:01,
motor1,7:00,7:11,second
motor2,7:00,7:01,
motor1,8:00,8:11,third
motor2,8:00,8:01,
motor1,9:00,9:11,fourth
motor2,9:00,9:01,
motor1,10:00,10:11,fifth
motor2,10:00,10:01,
motor1,11:00,11:11,sixth
motor2,11:00,11:01,
motor1,12:00,12:11,seventh
motor2,12:00,12:01,
motor1,13:00,13:11,eighth
motor2,13:00,13:01,
motor1,14:00,14:11,ninth
motor2,14:00,14:01,
motor1,15:00,15:11,tenth
motor2,15:00,15:01,
motor1,16:00,16:11,eleventh
motor2,16:00,16:01,
motor1,17:00,17:11,twelfth
motor2,17:00,17:01,
motor1,18:00,18:11,thirteenth
motor2,18:00,18:01,
motor1,19:00,19:11,fourteenth
motor2,19:00,19:01,
motor1,20:00,20:11,fifteenth
motor2,20:00,20:01,
